id,source,F0_status,F3_status,F3_minus_F0_CD,F3_minus_F0_ECD,F3_minus_F0_NC,F3_minus_F0_p95
point2building_02691_z45b11c0900005eba,real_zurich,evaluated,evaluated,0.054865573039279525,0.08296111880401424,-0.044730059195535965,0.10452041515627009
point2building_01496_z41acfcf900040363,real_zurich,evaluated,evaluated,0.021787224133092753,0.06552147885762594,0.0063448501059621965,0.14743392704251485
point2building_02888_z5c37184f8d8a0056,real_zurich,evaluated,evaluated,0.14092335460524064,0.3262570482411027,-0.043561686004720435,-4.439058268124185e-05
point2building_03749_z4756d98a00000752,real_zurich,evaluated,evaluated,-0.0037841251215744443,0.03376076335479716,-0.007028920454548948,0.003147736630009189
point2building_03331_z4c11dac00000001b,real_zurich,evaluated,evaluated,-0.0027799221003226293,-0.0021295467756572983,-0.019269052652786778,-0.0017661816712822576
point2building_04499_z4961a69d00000000,real_zurich,evaluated,evaluated,0.23116626111216831,0.6321578300578796,-0.056307815209125756,0.00022133015227077113
point2building_00828_z41aca4f400001a79,real_zurich,evaluated,evaluated,-0.007914289214363102,-0.006241320513813431,-0.006801221269512103,0.007506679322351356
point2building_00089_z41ad26d300061d2a,real_zurich,evaluated,evaluated,-0.020884666301131283,-0.022481746003284453,-0.0052470716187413835,0.0408466400655173
point2building_04264_z463f41f7000004a3,real_zurich,evaluated,evaluated,0.009610910214882917,0.03823354893282982,-0.014383898620350832,-0.0007357543042847692
point2building_03215_z47050ae1000007c1,real_zurich,evaluated,evaluated,-0.0013517015139306032,-0.01896908386553786,-0.005515440435830854,0.0017696322000151365
point2building_04146_z54feb0f4c2d60023,real_zurich,evaluated,evaluated,0.030221260898134927,0.028163320469098085,-0.004076187907315898,-1.9446227406128003e-09
point2building_03120_z47050adb000005fd,real_zurich,evaluated,evaluated,0.008983176918134328,-0.006841843956957971,3.673802738679566e-05,0.043263204640570124
point2building_01182_z41ac39cc00001edd,real_zurich,evaluated,evaluated,-0.03589632146277122,-0.12621839680645053,0.012389506873083156,0.00028921578419331684
